transition_proba,skip,n_functions,n_cores,run,total_work,max_endtime,latency,hit_ratio
0.5,100,3,1,39,6509,999460,67584.00000000001,98.505
0.5,100,3,1,40,6609,999460,261220.00000000006,99.51
0.5,100,3,1,41,6472,999190,54036.09999999999,98.125
0.5,100,3,1,42,6574,999010,220211.99999999924,98.93
0.5,100,3,1,43,6483,998920,86939.40000000024,98.835
0.5,100,3,1,44,6594,999550,175547.99999999988,99.45
0.5,100,3,1,45,6497,999640,52926.79999999996,98.335
0.5,100,3,1,46,6561,999370,99119.99999999968,99.165
0.5,100,3,1,47,6561,999820,119741.99999999948,99.445
0.5,100,3,1,48,6545,998470,81042.39999999947,99.075
0.5,100,3,1,49,6601,999280,103450.0,99.795
0.5,100,3,4,0,6567,999550,115418.00000000003,99.575
0.5,100,3,4,1,6545,998290,74387.19999999931,98.985
0.5,100,3,4,2,6531,998380,57539.99999999994,99.205
0.5,100,3,4,3,6582,999280,118185.09999999948,99.24
0.5,100,3,4,4,6577,998920,99258.7999999997,99.365
0.5,100,3,4,5,6591,998200,255271.00000000023,99.43
0.5,100,3,4,6,6543,998650,117140.79999999932,99.535
0.5,100,3,4,7,6537,998740,85066.00000000013,99.145
0.5,100,3,4,8,6551,999640,80750.0,99.81
0.5,100,3,4,9,6520,999370,70939.89999999959,98.735
0.5,100,3,4,10,6579,999640,105133.20000000065,99.185
0.5,100,3,4,11,6562,998650,107125.0000000005,99.53
0.5,100,3,4,12,6575,999280,99142.00000000015,99.555
